245214006,Tendon of flexor digitorum brevis (body structure)
281349007,Peroneal tendon (body structure)
304921007,Lateral rectus tendon (body structure)
362086008,Entire vermilion border of lip (body structure)
361339003,Entire endocrine pancreas (body structure)|Endocrine pancreas
181904004,Spinous process of axis (body structure)
51333002,Caudal area of hypothalamus|Structure of caudal area of hypothalamus (body structure)
27416003,Mediastinal pleura|Mediastinal pleura structure (body structure)
66000000,Structure of isthmus of osseous portion of auditory canal (body structure)|Isthmus of osseous portion of auditory canal
190593002,Myocardium of diaphragmatic region|Entire myocardium of diaphragmatic region (body structure)
181932008,Entire medial condyle of humerus (body structure)|Medial condyle of humerus
181038009,Digital nerve in hand to second web space (body structure)
422139005,Structure of third web space of foot (body structure)
35532006,"""Vena cava|Vena caval structure (body structure)|Vena cava"
26552008,"""Foot joint"
113278005,Mandibular left central incisor tooth|Structure of mandibular left central incisor tooth (body structure)|Tooth 24
371295006,Tendon and tendon sheath of hip and lower extremity|Structure of tendon and tendon sheath of hip and lower extremity (body structure)
423512000,Structure of extensor muscle of forearm (body structure)
67257009,Head of first rib|Head of first rib structure (body structure)
27442003,"""Lymphatic of upper extremity (body structure)|Lymphatic vessel of upper extremity|Lymphatic vessel of upper limb|Lymphatics of upper extremity"
60894006,Structure of thyroid lobule (body structure)|Thyroid lobule
263392003,Proximal third of shaft of radius|Entire proximal shaft of radius (body structure)
70420003,"""Metacarpophalangeal joint|Metacarpal joint"
362032000,Entire supraaortic valve area (body structure)
6572002,Base of phalanx of middle finger|Structure of base of phalanx of middle finger (body structure)
362493003,Entire superior mesenteric plexus (body structure)
362141008,Entire pyloric portion of stomach (body structure)
372199005,Medial meniscus part (body structure)
15434002,"""Tendon sheath|Tendon sheath structure (body structure)|Tendon sheath"
122455009,Nerve plexus|Structure of nerve plexus (body structure)|Nerve plexus (body structure)
245208004,Flexor digitorum tendon of fourth toe (body structure)
369036003,Isthmus of rhombencephalon|Entire isthmus of rhombencephalon (body structure)
79652003,"""Internal structures of eyeball|Internal structures of eyeball"
84526007,Structure of uvula of bladder (body structure)|Uvula of bladder
272679001,Bone structure of head (body structure)
15591009,Popliteal muscle structure (body structure)|Popliteal muscle|Popliteus muscle structure (body structure)|Popliteal muscle structure|Popliteus muscle
361935003,Entire supreme nasal turbinate (body structure)
369243000,Entire central tegmental tract of midbrain (body structure)|Central tegmental tract of midbrain
368420000,Transverse head of adductor pollicis muscle|Entire transverse head of adductor pollicis muscle (body structure)
362072009,SV - Saphenous vein|Saphenous vein|Saphenous vein structure (body structure)
181505007,Skin of supraumbilical region (body structure)
26444007,"""Pectoral girdle|Shoulder girdle structure (body structure)|Shoulder girdle|Shoulder girdle"
279758009,Crus commune (body structure)
59024009,Structure of angular gyrus (body structure)|Angular gyrus
367886004,Entire clavicular notch of sternum (body structure)|Clavicular notch of sternum
110592004,Central groove of tooth (body structure)
267012008,Lymphoid follicle of small intestine|Entire lymphoid follicle of small intestine (body structure)
51712008,Interosseous cuneometatarsal ligaments|Entire interosseous cuneometatarsal ligament (body structure)|Interosseous tarsometatarsal ligaments
39342003,Optic axis|Optic axis structure (body structure)|Optic axis of eyeball
43622005,Tooth G|Deciduous maxillary left lateral incisor tooth|Structure of deciduous maxillary left lateral incisor tooth (body structure)
362332009,Entire middle frontal gyrus (body structure)
263340007,Entire ciliary body (body structure)|Ciliary body
314210000,Medullary cranial nerve nucleus (body structure)
361736007,Entire clivus (body structure)
78748003,Annular portion of fibrous sheath of toe|Anular portion of fibrous sheath of toe|Structure of annular portion of fibrous sheath of toe (body structure)
41689005,Transverse process of sixteenth thoracic vertebra (body structure)
422499002,Cavity of hemithorax|Structure of half of thoracic cavity lateral to midsagittal plane (body structure)
245395008,Proximal third of main bile duct (body structure)
39296001,"""Outer border of rib"
427379002,Bone tissue of second metatarsal (body structure)
91776005,Right hip|Entire right hip region (body structure)
199697003,Entire peribronchial tissue (body structure)|Peribronchial tissue
18086004,Septum of maxillary sinus (body structure)
264479005,Fovea|Entire fovea centralis (body structure)
362684005,Entire posterior chest wall (body structure)
245387009,Dorsal pancreatic duct (body structure)
425849002,Bone tissue of proximal phalanx of middle finger (body structure)
280533000,Cervical sympathetic trunk (body structure)
280606007,Entire scleral spur (body structure)|Scleral spur
244020008,Region of foot|Surface region of foot (body structure)
279142004,Deep parotid lymph node (body structure)
362052004,Entire arterial rete of elbow joint (body structure)
64110009,Angle of fourteenth rib (body structure)
58403004,Skin structure of lower trunk (body structure)|Skin of lower trunk
244433007,Dorsal thalamus|Thalamus|Entire thalamus (body structure)
181658006,Entire superficial flexor tendon of little finger (body structure)|Flexor digitorum superficialis to little
7507003,Entire anterior ligament of head of fibula (body structure)|Anterior ligament of head of fibula
210466008,Entire hiatus tendineus adductorius (body structure)|Hiatus tendineus adductorius
66340003,Detached rib|Floating rib|Structure of floating rib (body structure)
368482006,Palmar metacarpal veins|Palmar metacarpal vein|Structure of palmar metacarpal vein (body structure)|Volar metacarpal vein
181416003,Base of right lung|Entire base of right lung (body structure)
367904002,Crest of head of rib|Entire crest of head of rib (body structure)
23547007,"""Skin structure of deltoid region (body structure)|Skin of deltoid region|Skin of deltoid region"
308874008,Dorsal branch of spinal nerve of cauda equina|Entire dorsal branch of spinal nerve of cauda equina (body structure)
